,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Status Binary
17,2021-02-10,1281906,708531.04,714555,708531.04,0.0,0.0,2133.0,23,18,2020,7.0,1.0,0.0
728,2020-10-27,1272983,273208.71,168105,214000.00,0.0,1.0,638.0,15,4,2015,6.0,2.0,1.0
2457,2020-02-18,1249470,259341.8,175100,217000.00,0.0,0.0,1540.0,99,55,2018,4.0,3.0,1.0
2605,2020-02-05,1236059,96272.66,63672,98814.72,0.0,1.0,379.0,28,17,2018,6.0,2.0,0.0
2806,2020-01-22,1244127,109717.1,2067400,111137.60,2.0,3.0,2942.0,32,8,2017,5.0,1.0,1.0
3742,2019-12-02,1238881,155217.24,68801,70400.00,1.0,1.0,909.0,75,59,2019,4.0,1.0,1.0
3916,2019-11-19,1237739,259341.8,175100,217000.00,0.0,0.0,1540.0,19,10,2018,4.0,3.0,0.0
4148,2019-11-06,1235650,340895.12,225100,195000.00,4.0,3.0,1464.0,40,36,2019,4.0,1.0,1.0
4724,2019-10-01,1229520,56673.54,84244,57647.20,4.0,3.0,1660.0,94,86,2019,5.0,1.0,0.0
5385,2019-08-21,1214322,248853.95,175100,248853.95,0.0,0.0,1540.0,27,14,2018,4.0,3.0,0.0
6067,2019-07-10,1216433,896741.32,492000,910461.17,1.0,1.0,851.0,40,2,2012,6.0,2.0,1.0
6106,2019-07-08,1214647,2343630.98,2663000,2343630.98,3.0,4.0,2504.0,75,75,2019,5.0,2.0,0.0
6578,2019-06-11,1213036,28713.69,59250,28713.69,3.0,2.0,1202.0,24,20,2018,3.0,1.0,0.0
6634,2019-06-10,1196770,412639.16,140072,142008.12,1.0,1.0,685.0,77,27,2017,5.0,1.0,1.0
6685,2019-06-05,1207562,300115.09,228330,309115.09,0.0,0.0,2537.0,45,31,2018,4.0,4.0,0.0
7305,2019-04-30,1196417,201392.67,145471,204884.67,3.0,2.0,1380.0,41,16,2016,10.0,1.0,0.0
7309,2019-04-30,1206829,172492.2,116390,173924.20,2.0,2.0,750.0,41,23,2017,7.0,1.0,1.0
8068,2019-03-18,1196155,860750.26,1433718,867766.20,0.0,0.0,12254.0,78,60,2018,9.0,1.0,1.0
8340,2019-02-27,1182790,356493.98,190624,182750.00,1.0,1.0,296.0,41,13,2016,3.0,1.0,1.0
8455,2019-02-25,1191548,249654.13,507150,253254.00,0.0,0.0,3381.0,65,23,2016,8.0,2.0,1.0
8699,2019-02-06,1183277,260673.22,152000,165367.82,3.0,2.0,1190.0,16,9,2017,11.0,2.0,1.0
8758,2019-02-04,1190687,237653.4,204100,237653.40,3.0,2.0,1170.0,65,6,2013,8.0,2.0,1.0
8779,2019-02-04,1178048,1063670.73,791000,1076000.00,0.0,0.0,2120.0,65,4,2012,10.0,2.0,0.0
8904,2019-01-23,1184558,173991.08,134565,179400.00,1.0,1.0,950.0,49,35,2017,4.0,2.0,1.0
8909,2019-01-23,1186468,197140.87,127000,142000.00,1.0,1.0,710.0,49,38,2017,6.0,1.0,1.0
8920,2019-01-23,1188159,356454.37,233000,272500.00,2.0,2.0,940.0,49,37,2017,7.0,1.0,1.0
8939,2019-01-23,1175418,252757.72,88000,90000.00,2.0,2.0,1162.0,49,15,2016,8.0,1.0,1.0
8999,2019-01-22,1189833,17593.38,166698,17593.38,1.0,1.0,766.0,126,99,2017,1.0,1.0,1.0
9002,2019-01-22,1189873,20524.42,110500,20524.42,0.0,0.0,873.0,126,92,2017,1.0,1.0,1.0
9009,2019-01-22,1185078,231113.1,129600,142560.00,2.0,1.0,1133.0,126,89,2017,4.0,1.0,1.0
9069,2019-01-16,1188254,602901.84,337869,357029.85,1.0,1.0,816.0,54,4,2012,37.0,5.0,1.0
9137,2019-01-15,1189152,289217.42,367800,550000.00,2.0,2.0,1580.0,41,32,2017,3.0,1.0,1.0
9614,2019-01-07,1173411,666142.71,619818,666142.71,2.0,2.0,1694.0,203,158,2017,6.0,4.0,0.0
9718,2018-12-10,1168966,571011.03,300374,582499.23,2.0,2.0,1509.0,84,42,2017,3.0,1.0,1.0
10191,2018-11-19,1178019,369103.73,121410,377300.73,0.0,0.0,1349.0,69,66,2018,3.0,1.0,1.0
10484,2018-11-05,1176140,8066249.12,5868170,7420000.00,4.0,3.0,6170.0,93,89,2018,5.0,1.0,1.0
10518,2018-10-31,1162104,794754.27,461266,811987.80,3.0,3.0,1694.0,44,31,2017,4.0,1.0,0.0
11203,2018-10-02,1170548,1197546.11,348955,151731.00,2.0,2.0,1963.0,72,45,2016,9.0,4.0,1.0
11256,2018-10-01,1166157,201744.01,118000,120000.00,2.0,2.0,880.0,64,49,2017,6.0,1.0,1.0
11260,2018-10-01,1166182,260673.22,152000,161194.84,3.0,2.0,1190.0,64,34,2017,11.0,2.0,0.0
11453,2018-09-24,1165404,114181.46,165000,114181.46,0.0,0.0,1100.0,51,49,2017,4.0,1.0,1.0
11615,2018-09-12,1165713,155417.04,99745,103000.00,2.0,2.0,1046.0,70,52,2017,2.0,1.0,1.0
11949,2018-08-28,1163897,75056.9,63670,75056.90,1.0,1.0,377.0,92,59,2017,24.0,1.0,1.0
12218,2018-08-15,1154943,259640.89,330315,259640.89,0.0,0.0,1159.0,30,29,2017,3.0,2.0,0.0
12481,2018-08-01,1161478,239177.02,138053,171000.00,2.0,2.0,924.0,33,17,2017,5.0,1.0,1.0
14062,2018-05-23,1148249,53753.55,125400,43000.00,3.0,2.0,1185.0,62,54,2017,2.0,1.0,1.0
15371,2018-03-27,1138205,254046.66,185000,255803.11,3.0,2.0,1239.0,50,20,2014,6.0,4.0,1.0
15661,2018-03-16,1124569,95882.0,78750,97848.46,2.0,1.0,1000.0,27,18,2017,1.0,1.0,1.0
15709,2018-03-15,1136703,400231.37,185000,183854.84,2.0,2.0,960.0,114,40,2016,5.0,1.0,1.0
16602,2018-01-30,1130685,25463.36,469000,25463.36,3.0,2.0,2265.0,52,47,2017,4.0,1.0,1.0
16653,2018-01-29,1125153,1197546.11,348955,192762.00,2.0,2.0,1963.0,38,22,2016,9.0,4.0,1.0
17101,2018-01-16,1123685,262907.96,185000,269768.50,3.0,2.0,1239.0,78,21,2014,6.0,4.0,1.0
17720,2017-12-13,1122255,338269.0,358500,338269.00,2.0,2.0,952.0,60,58,2017,4.0,1.0,1.0
18023,2017-11-28,1118499,1197546.11,348955,183562.00,2.0,2.0,1963.0,34,30,2016,9.0,4.0,0.0
18779,2017-10-18,1112642,354225.87,236990,190000.00,0.0,0.0,3646.0,58,37,2016,5.0,3.0,1.0
19470,2017-09-26,1107336,75247.75,146960,75247.75,2.0,2.0,1224.0,57,30,2016,1.0,1.0,1.0
20166,2017-09-05,1087091,167629.36,113800,167629.36,2.0,1.0,882.0,53,34,2016,6.0,3.0,0.0
20804,2017-08-15,1088011,354225.87,236990,190000.00,0.0,0.0,3646.0,48,34,2016,5.0,3.0,0.0
20869,2017-08-14,1094520,117150.69,66962,120278.18,2.0,1.0,891.0,77,41,2016,7.0,2.0,1.0
21027,2017-08-07,1092463,86933.87,82450,62500.00,3.0,1.0,935.0,61,16,2014,5.0,7.0,1.0
21271,2017-07-27,1095032,90765.69,49958,88734.69,2.0,2.0,916.0,55,7,2010,6.0,1.0,0.0
21376,2017-07-25,1091119,211920.03,108528,46777.00,3.0,1.0,1167.0,54,51,2016,8.0,1.0,1.0
21528,2017-07-19,1094978,142940.57,159750,142461.65,3.0,2.0,1220.0,68,62,2017,4.0,1.0,1.0
22216,2017-06-26,1078562,229739.94,172183,133000.00,3.0,2.0,1173.0,36,20,2015,4.0,2.0,1.0
22489,2017-06-15,1088383,198617.5,324800,198617.50,0.0,0.0,2030.0,49,27,2017,3.5,3.0,0.0
22510,2017-06-14,1085568,215532.89,195000,148736.00,3.0,2.0,1147.0,67,59,2016,4.0,1.0,1.0
23586,2017-05-10,1078744,12237.29,115062,12237.29,3.0,2.0,1151.0,60,30,2015,1.0,3.0,0.0
23725,2017-05-05,1063363,309208.62,130950,121500.00,2.0,1.0,968.0,17,8,2015,6.0,1.0,1.0
23913,2017-05-01,1067027,213061.88,136800,90149.86,2.0,2.0,1275.0,54,4,2011,4.0,4.0,0.0
23915,2017-04-28,1042058,86610.6,123700,89425.86,2.0,2.0,1045.0,32,15,2014,3.0,3.0,0.0
23971,2017-04-26,1076347,177395.11,163040,133000.00,0.0,0.0,1019.0,64,48,2016,3.0,1.0,1.0
24042,2017-04-25,1066865,412455.49,282567,375000.00,2.0,2.0,1183.0,31,17,2014,4.0,1.0,1.0
24167,2017-04-20,1074827,112890.64,113850,68000.00,0.0,0.0,1035.0,93,29,2015,3.0,2.0,1.0
24175,2017-04-20,1074829,143999.73,102692,67000.00,0.0,0.0,1035.0,93,31,2015,3.0,2.0,1.0
24177,2017-04-20,1075113,281060.26,186000,271666.84,3.0,2.0,1364.0,93,47,2016,9.0,1.0,1.0
24183,2017-04-20,1074828,113239.98,109450,72000.00,0.0,0.0,995.0,93,30,2015,3.0,2.0,1.0
24185,2017-04-20,1074830,140310.31,102692,75000.00,0.0,0.0,1035.0,93,32,2015,3.0,2.0,1.0
24816,2017-03-29,1070419,159964.09,252000,159964.09,0.0,0.0,2400.0,49,33,2016,2.0,2.0,0.0
24889,2017-03-27,1066233,67491.17,127926,67491.17,2.0,2.0,1123.0,33,29,2016,3.0,2.0,1.0
25324,2017-03-10,1062385,303399.99,143510,162000.00,2.0,2.0,842.0,29,13,2015,4.0,2.0,1.0
25338,2017-03-10,1062384,210440.96,171710,120377.00,2.0,2.0,979.0,29,9,2014,7.0,2.0,1.0
25391,2017-03-08,1066179,179419.22,93600,84066.00,1.0,2.0,741.0,68,41,2016,5.0,1.0,1.0
25404,2017-03-08,1066151,274081.29,143000,127800.00,4.0,2.0,1846.0,68,50,2016,6.0,1.0,1.0
25433,2017-03-08,1066223,206052.16,153000,157000.00,2.0,2.0,1036.0,68,44,2016,2.0,1.0,1.0
