,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Status Binary
17,2021-02-10,1281906,708531.04,714555,0.0,0.0,2133.0,23,18,2020,7.0,1.0,0.0
232,2021-01-11,1280239,100859.28,59297,2.0,1.0,930.0,59,15,2017,2.0,1.0,1.0
247,2021-01-11,1278466,375198.67,204578,3.0,2.0,1582.0,59,35,2019,8.0,1.0,1.0
256,2021-01-11,1274464,600831.63,724983,3.0,3.0,1593.0,59,52,2020,2.0,1.0,0.0
329,2021-01-06,1278567,90576.03,84244,4.0,3.0,1660.0,75,15,2016,1.0,2.0,1.0
398,2021-01-04,1278076,107884.32,184300,2.0,2.0,1156.0,72,63,2019,3.0,1.0,0.0
441,2020-12-16,1277185,276490.27,295600,3.0,2.0,1950.0,20,12,2019,5.0,2.0,0.0
633,2020-11-16,1274072,4363617.56,2067400,2.0,3.0,2942.0,38,35,2019,7.0,3.0,0.0
653,2020-11-10,1274187,276490.27,295600,3.0,2.0,1950.0,31,19,2019,5.0,2.0,0.0
728,2020-10-27,1272983,273208.71,168105,0.0,1.0,638.0,15,4,2015,6.0,2.0,1.0
746,2020-10-26,1271440,178607.12,84244,4.0,3.0,1660.0,16,5,2016,1.0,1.0,1.0
1012,2020-06-29,1257470,260234.39,220600,1.0,1.0,750.0,14,4,2017,7.0,1.0,0.0
1110,2020-06-08,1259550,174066.95,75800,0.0,1.0,379.0,32,24,2019,4.0,3.0,0.0
1518,2020-04-20,1255847,174066.95,75800,0.0,1.0,379.0,36,28,2019,4.0,3.0,0.0
1736,2020-04-06,1252555,96272.66,63672,0.0,1.0,379.0,55,39,2018,6.0,2.0,0.0
1860,2020-03-25,1255850,273208.71,168105,0.0,1.0,638.0,23,2,2015,6.0,2.0,0.0
1935,2020-03-23,1250778,4363617.56,2067400,2.0,3.0,2942.0,64,62,2019,7.0,3.0,0.0
2457,2020-02-18,1249470,259341.8,175100,0.0,0.0,1540.0,99,55,2018,4.0,3.0,1.0
2605,2020-02-05,1236059,96272.66,63672,0.0,1.0,379.0,28,17,2018,6.0,2.0,0.0
2806,2020-01-22,1244127,109717.1,2067400,2.0,3.0,2942.0,32,8,2017,5.0,1.0,1.0
2954,2020-01-15,1241803,265235.19,101903,3.0,2.0,1790.0,33,11,2015,4.0,3.0,0.0
3001,2020-01-13,1245923,305701.84,142804,3.0,2.0,1419.0,72,29,2018,4.0,1.0,1.0
3059,2020-01-13,1231227,90576.03,84244,4.0,3.0,1660.0,72,11,2016,1.0,2.0,0.0
3328,2020-01-06,1241745,194954.76,116390,2.0,2.0,750.0,211,80,2017,11.0,1.0,1.0
3378,2020-01-06,1240404,285847.65,171000,2.0,2.0,926.0,211,186,2019,7.0,1.0,1.0
3633,2019-12-09,1227382,320694.16,156798,2.0,2.0,1296.0,88,12,2016,2.0,1.0,1.0
3742,2019-12-02,1238881,155217.24,68801,1.0,1.0,909.0,75,59,2019,4.0,1.0,1.0
3916,2019-11-19,1237739,259341.8,175100,0.0,0.0,1540.0,19,10,2018,4.0,3.0,0.0
4148,2019-11-06,1235650,340895.12,225100,4.0,3.0,1464.0,40,36,2019,4.0,1.0,1.0
4357,2019-10-28,1229783,374741.75,202500,2.0,2.0,1136.0,58,34,2018,3.5,1.0,1.0
4623,2019-10-15,1226310,47105.84,86586,3.0,3.0,1234.0,104,78,2018,3.0,1.0,0.0
4724,2019-10-01,1229520,56673.54,84244,4.0,3.0,1660.0,94,86,2019,5.0,1.0,0.0
5360,2019-08-26,1221063,431178.07,570213,3.0,1.0,2368.0,84,72,2018,4.0,3.0,0.0
5385,2019-08-21,1214322,248853.95,175100,0.0,0.0,1540.0,27,14,2018,4.0,3.0,0.0
5438,2019-08-19,1219908,39867.88,137000,3.0,2.0,1163.0,75,56,2018,13.0,1.0,0.0
5441,2019-08-19,1219662,500224.03,168946,1.0,1.0,886.0,75,27,2016,6.0,5.0,0.0
5696,2019-07-31,1223113,300115.09,228330,0.0,0.0,2537.0,16,8,2018,4.0,4.0,0.0
6046,2019-07-10,1216094,54014.27,85098,2.0,2.0,1014.0,40,21,2018,1.0,5.0,0.0
6047,2019-07-10,1215531,301417.06,284728,2.0,2.0,1139.0,40,27,2018,8.0,3.0,0.0
6062,2019-07-10,1215436,258051.64,103000,3.0,2.0,1024.0,40,29,2018,2.0,2.0,1.0
6067,2019-07-10,1216433,896741.32,492000,1.0,1.0,851.0,40,2,2012,6.0,2.0,1.0
6073,2019-07-10,1202605,218672.83,83904,1.0,1.0,612.0,40,20,2018,4.0,1.0,1.0
6100,2019-07-08,1197574,978014.57,529738,3.0,2.0,1191.0,75,42,2018,5.0,1.0,1.0
6105,2019-07-08,1202513,175111.1,101520,1.0,1.0,647.0,75,46,2018,5.0,1.0,1.0
6106,2019-07-08,1214647,2343630.98,2663000,3.0,4.0,2504.0,75,75,2019,5.0,2.0,0.0
6121,2019-07-08,1214734,1118387.56,472768,3.0,3.0,1762.0,75,17,2016,5.0,3.0,1.0
6126,2019-07-08,1215484,196260.8,189200,2.0,2.0,1011.0,75,70,2018,7.0,2.0,1.0
6129,2019-07-08,1216127,164500.0,214000,3.0,3.0,1460.0,75,38,2018,5.0,7.0,0.0
6131,2019-07-08,1213024,431178.07,570213,3.0,1.0,2368.0,75,65,2018,4.0,3.0,0.0
6136,2019-07-08,1215535,870238.28,461866,2.0,2.0,1200.0,75,32,2017,13.0,1.0,1.0
6138,2019-07-08,1215533,50734.27,154080,3.0,2.0,1227.0,75,57,2018,3.0,1.0,1.0
6142,2019-07-08,1214888,605954.87,239900,2.0,2.0,1522.0,75,71,2018,4.0,3.0,0.0
6152,2019-07-08,1215142,278695.57,354800,2.0,3.0,1663.0,75,55,2018,2.0,3.0,0.0
6153,2019-07-08,1213082,251984.91,207500,3.0,2.0,1290.0,75,61,2018,6.0,1.0,1.0
6154,2019-07-08,1216358,257934.56,130950,2.0,1.0,968.0,75,39,2018,10.0,1.0,1.0
6155,2019-07-08,1215364,37851.74,79317,1.0,1.0,673.0,75,62,2018,3.0,2.0,0.0
6161,2019-07-08,1214518,23370.38,176900,2.0,2.0,1339.0,75,20,2017,3.0,2.0,0.0
6167,2019-07-08,1213078,209466.59,135000,2.0,2.0,1009.0,75,54,2018,5.0,1.0,1.0
6209,2019-07-02,1210745,500224.03,168946,1.0,1.0,886.0,19,8,2016,6.0,5.0,0.0
6435,2019-06-18,1213753,337204.42,388705,1.0,1.0,847.0,31,31,2019,3.0,2.0,0.0
6578,2019-06-11,1213036,28713.69,59250,3.0,2.0,1202.0,24,20,2018,3.0,1.0,0.0
6634,2019-06-10,1196770,412639.16,140072,1.0,1.0,685.0,77,27,2017,5.0,1.0,1.0
6685,2019-06-05,1207562,300115.09,228330,0.0,0.0,2537.0,45,31,2018,4.0,4.0,0.0
7015,2019-05-15,1198296,431178.07,570213,3.0,1.0,2368.0,34,32,2018,4.0,3.0,0.0
7062,2019-05-13,1196765,364934.51,306450,0.0,0.0,4086.0,89,50,2017,5.0,1.0,0.0
7160,2019-05-08,1207025,6447.75,134625,1.0,1.0,880.0,21,21,2018,1.0,1.0,1.0
7305,2019-04-30,1196417,201392.67,145471,3.0,2.0,1380.0,41,16,2016,10.0,1.0,0.0
7309,2019-04-30,1206829,172492.2,116390,2.0,2.0,750.0,41,23,2017,7.0,1.0,1.0
7409,2019-04-23,1202902,77669.76,144200,3.0,2.0,1180.0,19,14,2017,7.0,1.0,1.0
7560,2019-04-15,1200400,728031.99,377372,2.0,2.0,2425.0,75,2,2011,7.0,11.0,1.0
7592,2019-04-10,1195432,300115.09,228330,0.0,0.0,2537.0,33,27,2018,4.0,4.0,0.0
7752,2019-04-03,1200165,51572.68,590499,3.0,2.0,2324.0,57,57,2019,1.0,1.0,1.0
7769,2019-04-02,1195774,29113.19,114967,0.0,0.0,1983.0,24,11,2017,1.0,2.0,0.0
7852,2019-04-01,1196179,500224.03,168946,1.0,1.0,886.0,80,22,2016,6.0,5.0,0.0
8068,2019-03-18,1196155,860750.26,1433718,0.0,0.0,12254.0,78,60,2018,9.0,1.0,1.0
8169,2019-03-11,1195776,68670.98,105900,4.0,3.0,1660.0,87,35,2016,2.0,1.0,1.0
8288,2019-03-04,1190016,728031.99,377372,2.0,2.0,2425.0,72,7,2011,7.0,11.0,0.0
8340,2019-02-27,1182790,356493.98,190624,1.0,1.0,296.0,41,13,2016,3.0,1.0,1.0
8353,2019-02-27,1194975,224334.31,154000,3.0,2.0,1630.0,41,33,2018,3.0,1.0,1.0
8455,2019-02-25,1191548,249654.13,507150,0.0,0.0,3381.0,65,23,2016,8.0,2.0,1.0
8479,2019-02-20,1194549,300115.09,228330,0.0,0.0,2537.0,54,43,2018,4.0,4.0,0.0
8696,2019-02-06,1178029,242963.74,129000,2.0,2.0,940.0,16,2,2013,5.0,4.0,1.0
8699,2019-02-06,1183277,260673.22,152000,3.0,2.0,1190.0,16,9,2017,11.0,2.0,1.0
8708,2019-02-05,1183360,245192.49,188120,1.0,2.0,1030.0,17,14,2017,4.0,2.0,0.0
8713,2019-02-05,1189846,160711.05,137000,2.0,2.0,927.0,17,17,2018,8.0,1.0,1.0
8721,2019-02-05,1188490,300857.09,320133,2.0,2.0,1129.0,17,15,2017,8.0,1.0,1.0
8728,2019-02-04,1190671,133003.73,108208,2.0,2.0,960.0,65,59,2018,5.0,1.0,1.0
8734,2019-02-04,1190668,324206.95,128800,2.0,2.0,938.0,65,23,2016,3.0,1.0,1.0
8747,2019-02-04,1181273,167537.52,87280,3.0,2.0,1185.0,65,16,2016,3.0,6.0,0.0
8755,2019-02-04,1190679,29379.49,127000,1.0,1.0,990.0,65,64,2018,2.0,1.0,1.0
8758,2019-02-04,1190687,237653.4,204100,3.0,2.0,1170.0,65,6,2013,8.0,2.0,1.0
8769,2019-02-04,1183355,32611.02,89287,3.0,2.0,1417.0,65,39,2017,1.0,1.0,1.0
8778,2019-02-04,1187644,656350.74,183982,3.0,4.0,2070.0,65,54,2018,5.0,3.0,0.0
8779,2019-02-04,1178048,1063670.73,791000,0.0,0.0,2120.0,65,4,2012,10.0,2.0,0.0
8783,2019-02-04,1190439,234058.43,187200,3.0,2.0,1180.0,65,63,2018,5.0,1.0,1.0
8811,2019-01-29,1177555,56785.86,99450,3.0,2.0,1620.0,26,14,2017,7.0,2.0,0.0
8904,2019-01-23,1184558,173991.08,134565,1.0,1.0,950.0,49,35,2017,4.0,2.0,1.0
8906,2019-01-23,1184860,17893.95,141557,1.0,1.0,860.0,49,42,2018,1.0,2.0,1.0
8909,2019-01-23,1186468,197140.87,127000,1.0,1.0,710.0,49,38,2017,6.0,1.0,1.0
8915,2019-01-23,1190501,167044.28,120750,1.0,1.0,1149.0,49,45,2018,6.0,1.0,1.0
8920,2019-01-23,1188159,356454.37,233000,2.0,2.0,940.0,49,37,2017,7.0,1.0,1.0
8923,2019-01-23,1166151,513810.12,255000,3.0,2.0,1365.0,49,24,2017,6.0,3.0,0.0
8928,2019-01-23,1184556,161396.65,75023,2.0,1.0,770.0,49,8,2015,5.0,4.0,0.0
8935,2019-01-23,1186365,12179.97,258170,0.0,1.0,530.0,49,47,2018,3.0,1.0,0.0
8936,2019-01-23,1188289,253381.97,130000,2.0,2.0,965.0,49,32,2017,9.0,1.0,1.0
8939,2019-01-23,1175418,252757.72,88000,2.0,2.0,1162.0,49,15,2016,8.0,1.0,1.0
8970,2019-01-22,1187950,109398.04,144000,2.0,2.0,910.0,126,73,2017,6.0,1.0,1.0
8994,2019-01-22,1182785,608691.7,295700,2.0,2.0,1257.0,126,69,2017,4.0,1.0,1.0
8998,2019-01-22,1190498,148727.6,89300,1.0,1.0,581.0,126,120,2018,11.0,1.0,1.0
8999,2019-01-22,1189833,17593.38,166698,1.0,1.0,766.0,126,99,2017,1.0,1.0,1.0
9002,2019-01-22,1189873,20524.42,110500,0.0,0.0,873.0,126,92,2017,1.0,1.0,1.0
9008,2019-01-22,1185921,196225.79,119000,2.0,2.0,996.0,126,74,2017,20.0,1.0,1.0
9009,2019-01-22,1185078,231113.1,129600,2.0,1.0,1133.0,126,89,2017,4.0,1.0,1.0
9069,2019-01-16,1188254,602901.84,337869,1.0,1.0,816.0,54,4,2012,37.0,5.0,1.0
9106,2019-01-15,1188283,32881.81,194150,2.0,2.0,1000.0,41,30,2017,3.0,1.0,0.0
9137,2019-01-15,1189152,289217.42,367800,2.0,2.0,1580.0,41,32,2017,3.0,1.0,1.0
9145,2019-01-14,1179098,440506.14,172500,3.0,2.0,1850.0,108,2,2009,4.0,1.0,1.0
9161,2019-01-14,1188725,206477.89,193291,3.0,3.0,1770.0,108,1,2009,13.0,1.0,1.0
9276,2019-01-09,1186279,347794.01,142058,2.0,2.0,793.0,68,33,2016,3.0,2.0,1.0
9473,2019-01-07,1165086,281702.31,125000,2.0,2.0,1040.0,203,92,2017,9.0,1.0,1.0
9515,2019-01-07,1178270,882259.05,52920,0.0,0.0,882.0,203,183,2018,5.0,1.0,1.0
9614,2019-01-07,1173411,666142.71,619818,2.0,2.0,1694.0,203,158,2017,6.0,4.0,0.0
9653,2018-12-12,1165345,407532.18,263000,3.0,2.0,1712.0,47,27,2017,5.0,2.0,0.0
9667,2018-12-12,1168635,19972.55,115760,2.0,2.0,1463.0,47,26,2017,5.0,1.0,0.0
9677,2018-12-11,1174572,168877.54,177900,3.0,2.0,1607.0,19,19,2018,5.0,1.0,1.0
9718,2018-12-10,1168966,571011.03,300374,2.0,2.0,1509.0,84,42,2017,3.0,1.0,1.0
9762,2018-12-10,1174227,497559.59,184950,0.0,1.0,601.0,84,9,2014,7.0,1.0,1.0
9815,2018-12-05,1174875,133223.12,120000,1.0,1.0,646.0,52,33,2017,7.0,3.0,0.0
9982,2018-11-28,1172087,18378.37,486419,2.0,2.0,1239.0,16,16,2018,1.0,1.0,0.0
10009,2018-11-26,1177118,144744.23,99831,2.0,2.0,1279.0,93,31,2015,4.0,1.0,1.0
10018,2018-11-26,1176308,452158.56,208083,2.0,2.0,1046.0,93,41,2016,4.0,3.0,0.0
10069,2018-11-26,1165722,106013.86,249000,2.0,2.0,1320.0,93,24,2015,4.0,2.0,0.0
10191,2018-11-19,1178019,369103.73,121410,0.0,0.0,1349.0,69,66,2018,3.0,1.0,1.0
10319,2018-11-13,1176689,29113.19,114967,0.0,0.0,1983.0,113,68,2017,1.0,2.0,0.0
10378,2018-11-07,1169887,347794.01,142058,2.0,2.0,793.0,55,21,2016,3.0,2.0,0.0
10484,2018-11-05,1176140,8066249.12,5868170,4.0,3.0,6170.0,93,89,2018,5.0,1.0,1.0
10489,2018-10-31,1174556,880587.02,729613,0.0,0.0,1922.0,44,19,2016,4.0,1.0,0.0
10504,2018-10-31,1174064,268487.0,162000,2.0,1.0,1000.0,44,17,2016,3.0,1.0,1.0
10509,2018-10-31,1174090,207155.5,161500,0.0,0.0,1232.0,44,29,2017,4.0,4.0,0.0
