,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Status Binary
10511,2018-10-31,1162101,517931.24,253656,2.0,2.0,1092.0,44,23,2016,3.0,1.0,1.0
10515,2018-10-31,1162117,225053.12,184857,1.0,1.0,677.0,44,28,2017,3.0,2.0,1.0
10516,2018-10-31,1174088,189093.93,106920,1.0,1.0,920.0,44,32,2017,6.0,1.0,1.0
10518,2018-10-31,1162104,794754.27,461266,3.0,3.0,1694.0,44,31,2017,4.0,1.0,0.0
10789,2018-10-17,1173013,47498.95,52360,2.0,2.0,1224.0,70,9,2013,3.0,1.0,0.0
11050,2018-10-10,1168509,259640.89,330315,0.0,0.0,1159.0,70,65,2017,3.0,2.0,0.0
11083,2018-10-09,1171106,53991.55,82300,2.0,1.0,930.0,70,27,2016,1.0,1.0,1.0
11189,2018-10-02,1167677,52145.63,59297,2.0,1.0,930.0,72,57,2017,1.0,1.0,0.0
11203,2018-10-02,1170548,1197546.11,348955,2.0,2.0,1963.0,72,45,2016,9.0,4.0,1.0
11256,2018-10-01,1166157,201744.01,118000,2.0,2.0,880.0,64,49,2017,6.0,1.0,1.0
11260,2018-10-01,1166182,260673.22,152000,3.0,2.0,1190.0,64,34,2017,11.0,2.0,0.0
11274,2018-10-01,1165342,144115.27,37878,1.0,1.0,647.0,64,60,2018,3.0,1.0,0.0
11453,2018-09-24,1165404,114181.46,165000,0.0,0.0,1100.0,51,49,2017,4.0,1.0,1.0
11563,2018-09-17,1148879,182210.4,242000,2.0,2.0,1488.0,58,50,2017,4.0,2.0,0.0
11615,2018-09-12,1165713,155417.04,99745,2.0,2.0,1046.0,70,52,2017,2.0,1.0,1.0
11617,2018-09-12,1165742,11829.39,72718,2.0,2.0,931.0,70,63,2018,3.0,1.0,1.0
11623,2018-09-12,1165774,88262.56,12400,1.0,1.0,660.0,70,19,2015,7.0,1.0,1.0
11637,2018-09-12,1162143,388061.37,85526,3.0,2.0,1099.0,70,42,2016,4.0,3.0,0.0
11642,2018-09-12,1165998,551910.74,471228,3.0,2.0,1968.0,70,56,2017,3.0,1.0,1.0
11875,2018-08-29,1161448,728031.99,377372,2.0,2.0,2425.0,46,4,2011,7.0,11.0,0.0
11949,2018-08-28,1163897,75056.9,63670,1.0,1.0,377.0,92,59,2017,24.0,1.0,1.0
12175,2018-08-20,1163743,106649.02,48846,3.0,2.0,1150.0,67,4,2012,3.0,1.0,0.0
12218,2018-08-15,1154943,259640.89,330315,0.0,0.0,1159.0,30,29,2017,3.0,2.0,0.0
12481,2018-08-01,1161478,239177.02,138053,2.0,2.0,924.0,33,17,2017,5.0,1.0,1.0
12503,2018-08-01,1157561,478070.23,286836,0.0,0.0,2706.0,33,8,2015,6.0,3.0,1.0
12833,2018-07-19,1153560,636193.34,532821,2.0,2.0,1260.0,64,8,2015,5.0,1.0,0.0
13154,2018-07-06,1155189,728031.99,377372,2.0,2.0,2425.0,62,6,2011,7.0,11.0,0.0
13232,2018-07-02,1145919,297082.13,96046,3.0,2.0,1340.0,32,4,2009,2.0,3.0,0.0
13588,2018-06-12,1151366,136037.48,106700,2.0,2.0,956.0,50,37,2017,5.0,2.0,1.0
13909,2018-05-30,1145305,728031.99,377372,2.0,2.0,2425.0,47,6,2011,7.0,11.0,0.0
14062,2018-05-23,1148249,53753.55,125400,3.0,2.0,1185.0,62,54,2017,2.0,1.0,1.0
14846,2018-04-17,1141298,915852.6,850649,3.0,2.0,1587.0,50,34,2016,4.0,3.0,0.0
14981,2018-04-11,1141788,26544.28,864550,3.0,3.0,2082.0,64,60,2017,1.0,1.0,1.0
15096,2018-04-09,1132132,149146.12,92874,0.0,0.0,817.0,57,18,2015,4.0,3.0,0.0
15183,2018-04-05,1139774,106866.28,73854,0.0,1.0,373.0,113,28,2016,5.0,1.0,1.0
15215,2018-04-04,1141171,12044.11,151000,2.0,2.0,992.0,29,22,2016,2.0,1.0,1.0
15272,2018-04-02,1135896,287389.76,119000,2.0,2.0,1077.0,44,12,2014,4.0,3.0,1.0
15371,2018-03-27,1138205,254046.66,185000,3.0,2.0,1239.0,50,20,2014,6.0,4.0,1.0
15661,2018-03-16,1124569,95882.0,78750,2.0,1.0,1000.0,27,18,2017,1.0,1.0,1.0
15709,2018-03-15,1136703,400231.37,185000,2.0,2.0,960.0,114,40,2016,5.0,1.0,1.0
15895,2018-03-08,1123700,169903.88,191000,2.0,2.0,1190.0,68,9,2016,3.0,1.0,0.0
16046,2018-02-28,1133155,19171.17,183200,3.0,2.0,1395.0,48,8,2011,2.0,1.0,0.0
16065,2018-02-28,1125763,383952.35,177754,0.0,0.0,2559.0,48,23,2015,2.0,1.0,1.0
16424,2018-02-09,1117195,1291772.6,451659,3.0,1.0,1685.0,32,1,2009,2.0,1.0,0.0
16498,2018-02-06,1131101,297082.13,96046,3.0,2.0,1340.0,39,3,2009,2.0,3.0,0.0
16602,2018-01-30,1130685,25463.36,469000,3.0,2.0,2265.0,52,47,2017,4.0,1.0,1.0
16653,2018-01-29,1125153,1197546.11,348955,2.0,2.0,1963.0,38,22,2016,9.0,4.0,1.0
16767,2018-01-24,1127856,136843.18,161152,2.0,1.0,954.0,62,50,2016,5.0,2.0,1.0
17075,2018-01-16,1123979,78181.1,123134,3.0,2.0,1548.0,78,76,2017,4.0,1.0,1.0
17101,2018-01-16,1123685,262907.96,185000,3.0,2.0,1239.0,78,21,2014,6.0,4.0,1.0
17297,2018-01-09,1114902,278685.82,95040,2.0,1.0,801.0,49,22,2016,3.0,1.0,1.0
17720,2017-12-13,1122255,338269.0,358500,2.0,2.0,952.0,60,58,2017,4.0,1.0,1.0
18023,2017-11-28,1118499,1197546.11,348955,2.0,2.0,1963.0,34,30,2016,9.0,4.0,0.0
18047,2017-11-27,1110492,262907.96,185000,3.0,2.0,1239.0,58,17,2014,6.0,4.0,0.0
18209,2017-11-16,1116118,62078.67,47967,0.0,0.0,271.0,39,14,2015,1.0,1.0,1.0
18362,2017-11-08,1116086,25095.15,86269,3.0,2.0,1150.0,42,41,2017,3.0,1.0,1.0
18534,2017-10-31,1109953,478070.23,286836,0.0,0.0,2706.0,22,8,2015,6.0,3.0,0.0
18779,2017-10-18,1112642,354225.87,236990,0.0,0.0,3646.0,58,37,2016,5.0,3.0,1.0
19470,2017-09-26,1107336,75247.75,146960,2.0,2.0,1224.0,57,30,2016,1.0,1.0,1.0
19657,2017-09-20,1106678,136843.18,161152,2.0,1.0,954.0,55,47,2016,5.0,2.0,0.0
19842,2017-09-14,1104362,136037.48,106700,2.0,2.0,956.0,89,48,2017,5.0,2.0,0.0
19880,2017-09-13,1105331,198617.5,324800,0.0,0.0,2030.0,52,44,2017,3.5,3.0,0.0
20166,2017-09-05,1087091,167629.36,113800,2.0,1.0,882.0,53,34,2016,6.0,3.0,0.0
20363,2017-08-25,1092442,41844.43,40975,2.0,1.0,870.0,61,46,2016,1.0,1.0,0.0
20377,2017-08-25,1100938,19332.99,451659,3.0,1.0,1685.0,61,32,2015,1.0,4.0,1.0
20804,2017-08-15,1088011,354225.87,236990,0.0,0.0,3646.0,48,34,2016,5.0,3.0,0.0
20869,2017-08-14,1094520,117150.69,66962,2.0,1.0,891.0,77,41,2016,7.0,2.0,1.0
21027,2017-08-07,1092463,86933.87,82450,3.0,1.0,935.0,61,16,2014,5.0,7.0,1.0
21271,2017-07-27,1095032,90765.69,49958,2.0,2.0,916.0,55,7,2010,6.0,1.0,0.0
21307,2017-07-26,1093553,198617.5,324800,0.0,0.0,2030.0,38,38,2017,3.5,3.0,0.0
21376,2017-07-25,1091119,211920.03,108528,3.0,1.0,1167.0,54,51,2016,8.0,1.0,1.0
21409,2017-07-24,1079080,251867.17,103000,1.0,1.0,887.0,72,28,2014,7.0,1.0,1.0
21528,2017-07-19,1094978,142940.57,159750,3.0,2.0,1220.0,68,62,2017,4.0,1.0,1.0
22088,2017-06-29,1088427,159964.09,252000,0.0,0.0,2400.0,61,36,2016,2.0,2.0,1.0
22216,2017-06-26,1078562,229739.94,172183,3.0,2.0,1173.0,36,20,2015,4.0,2.0,1.0
22292,2017-06-22,1072453,117150.69,66962,2.0,1.0,891.0,111,36,2016,7.0,2.0,0.0
22388,2017-06-19,1083004,265235.19,101903,3.0,2.0,1790.0,99,50,2015,4.0,3.0,0.0
22489,2017-06-15,1088383,198617.5,324800,0.0,0.0,2030.0,49,27,2017,3.5,3.0,0.0
22510,2017-06-14,1085568,215532.89,195000,3.0,2.0,1147.0,67,59,2016,4.0,1.0,1.0
22553,2017-06-14,1087099,12237.29,115062,3.0,2.0,1151.0,67,27,2015,1.0,3.0,0.0
22658,2017-06-12,1086727,728031.99,377372,2.0,2.0,2425.0,97,16,2011,7.0,11.0,0.0
22778,2017-06-08,1075384,169338.58,120000,3.0,2.0,1169.0,96,29,2015,6.0,1.0,1.0
22909,2017-06-05,1085115,290747.26,171045,0.0,1.0,639.0,74,17,2013,14.0,5.0,1.0
22948,2017-06-01,1068373,343491.34,180559,2.0,2.0,1000.0,14,10,2016,5.0,1.0,1.0
23206,2017-05-23,1080957,657786.22,551520,0.0,0.0,3064.0,44,40,2016,7.5,1.0,1.0
23368,2017-05-18,1081519,180561.27,140414,2.0,2.0,900.0,94,15,2014,4.0,1.0,1.0
23412,2017-05-16,1076018,465670.17,174070,0.0,0.0,2678.0,34,19,2015,5.0,3.0,1.0
23472,2017-05-15,1076738,354225.87,236990,0.0,0.0,3646.0,80,69,2016,5.0,3.0,0.0
23492,2017-05-12,1080849,728031.99,377372,2.0,2.0,2425.0,47,10,2011,7.0,11.0,0.0
23498,2017-05-12,1080660,121574.69,101277,2.0,2.0,985.0,47,47,2016,3.5,1.0,1.0
23531,2017-05-12,1080822,24128.81,208000,3.0,2.0,1680.0,47,37,2015,6.0,4.0,0.0
23565,2017-05-10,1079064,142979.79,140301,2.0,2.0,1200.0,60,34,2015,3.0,2.0,1.0
23586,2017-05-10,1078744,12237.29,115062,3.0,2.0,1151.0,60,30,2015,1.0,3.0,0.0
23654,2017-05-08,1075134,159608.48,63774,0.0,1.0,320.0,87,40,2014,2.0,1.0,0.0
23660,2017-05-08,1075084,59853.42,727090,2.0,1.0,940.0,87,46,2014,1.0,1.0,0.0
23679,2017-05-08,1075085,88772.65,277211,0.0,1.0,290.0,87,38,2014,1.0,1.0,0.0
23725,2017-05-05,1063363,309208.62,130950,2.0,1.0,968.0,17,8,2015,6.0,1.0,1.0
23913,2017-05-01,1067027,213061.88,136800,2.0,2.0,1275.0,54,4,2011,4.0,4.0,0.0
23915,2017-04-28,1042058,86610.6,123700,2.0,2.0,1045.0,32,15,2014,3.0,3.0,0.0
23934,2017-04-28,1061325,119021.1,138064,3.0,2.0,1432.0,32,21,2015,4.0,3.0,0.0
23961,2017-04-27,1049142,212122.09,191449,3.0,2.0,1195.0,26,10,2015,8.0,1.0,1.0
23971,2017-04-26,1076347,177395.11,163040,0.0,0.0,1019.0,64,48,2016,3.0,1.0,1.0
24009,2017-04-26,1068356,87539.18,30464,1.0,1.0,954.0,64,44,2016,4.0,6.0,0.0
24039,2017-04-25,1050329,58990.19,488000,2.0,2.0,1340.0,31,6,2012,1.0,6.0,0.0
24042,2017-04-25,1066865,412455.49,282567,2.0,2.0,1183.0,31,17,2014,4.0,1.0,1.0
24044,2017-04-25,1065939,205588.79,85688,3.0,2.0,1567.0,31,26,2015,7.0,3.0,0.0
24045,2017-04-25,1065948,219113.14,140000,2.0,2.0,1074.0,31,20,2014,2.0,10.0,0.0
24060,2017-04-24,1066371,265235.19,101903,3.0,2.0,1790.0,68,20,2015,4.0,3.0,0.0
24069,2017-04-24,1068738,171732.96,124077,2.0,2.0,1095.0,68,40,2015,7.0,1.0,1.0
24086,2017-04-24,1054849,476647.02,205400,2.0,2.0,1185.0,68,24,2015,4.0,4.0,0.0
24151,2017-04-20,1074265,17247.39,539784,0.0,0.0,4998.0,93,43,2016,2.0,1.0,0.0
24167,2017-04-20,1074827,112890.64,113850,0.0,0.0,1035.0,93,29,2015,3.0,2.0,1.0
24175,2017-04-20,1074829,143999.73,102692,0.0,0.0,1035.0,93,31,2015,3.0,2.0,1.0
24177,2017-04-20,1075113,281060.26,186000,3.0,2.0,1364.0,93,47,2016,9.0,1.0,1.0
24183,2017-04-20,1074828,113239.98,109450,0.0,0.0,995.0,93,30,2015,3.0,2.0,1.0
24185,2017-04-20,1074830,140310.31,102692,0.0,0.0,1035.0,93,32,2015,3.0,2.0,1.0
24406,2017-04-12,1058328,728031.99,377372,2.0,2.0,2425.0,33,3,2011,7.0,11.0,0.0
24491,2017-04-10,1074415,24128.81,208000,3.0,2.0,1680.0,83,69,2015,6.0,4.0,0.0
24524,2017-04-10,1074212,32876.88,314364,0.0,0.0,3417.0,83,43,2015,2.0,6.0,0.0
24777,2017-03-30,1055988,229739.94,172183,3.0,2.0,1173.0,41,23,2015,4.0,2.0,0.0
24784,2017-03-29,1055611,269274.69,184234,3.0,2.0,1320.0,49,29,2015,5.0,1.0,1.0
24808,2017-03-29,1070420,478070.23,286836,0.0,0.0,2706.0,49,27,2015,6.0,3.0,0.0
24815,2017-03-29,1072449,11267.31,115800,0.0,0.0,1544.0,49,25,2014,1.0,2.0,0.0
24816,2017-03-29,1070419,159964.09,252000,0.0,0.0,2400.0,49,33,2016,2.0,2.0,0.0
24819,2017-03-29,1055551,80286.27,134156,1.0,1.0,725.0,49,23,2014,6.0,1.0,1.0
24832,2017-03-28,1055978,128930.51,203900,0.0,1.0,570.0,43,18,2015,4.0,1.0,0.0
24871,2017-03-27,1065342,290443.04,108191,3.0,2.0,1196.0,33,27,2016,2.0,4.0,0.0
24889,2017-03-27,1066233,67491.17,127926,2.0,2.0,1123.0,33,29,2016,3.0,2.0,1.0
25132,2017-03-17,1053823,213015.0,184000,3.0,2.0,1090.0,28,11,2014,5.0,3.0,0.0
25175,2017-03-16,1061703,249292.35,128956,2.0,2.0,1010.0,86,34,2015,2.0,3.0,0.0
25181,2017-03-16,1053212,479731.95,488670,0.0,0.0,4654.0,86,40,2016,6.0,1.0,0.0
25233,2017-03-15,1068380,378607.65,267000,3.0,3.0,1547.0,54,47,2016,2.0,1.0,1.0
25324,2017-03-10,1062385,303399.99,143510,2.0,2.0,842.0,29,13,2015,4.0,2.0,1.0
25338,2017-03-10,1062384,210440.96,171710,2.0,2.0,979.0,29,9,2014,7.0,2.0,1.0
25391,2017-03-08,1066179,179419.22,93600,1.0,2.0,741.0,68,41,2016,5.0,1.0,1.0
25404,2017-03-08,1066151,274081.29,143000,4.0,2.0,1846.0,68,50,2016,6.0,1.0,1.0
25432,2017-03-08,1066149,376873.24,316800,2.0,2.0,1030.0,68,52,2016,4.0,3.0,0.0
25433,2017-03-08,1066223,206052.16,153000,2.0,2.0,1036.0,68,44,2016,2.0,1.0,1.0
25480,2017-03-06,1050885,411297.37,201250,2.0,2.0,1520.0,60,2,2008,5.0,5.0,0.0
25497,2017-03-06,1061281,32876.88,314364,0.0,0.0,3417.0,60,38,2015,2.0,6.0,0.0
