,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Status Binary
5,2021-02-10,1280094,837070.30,313061,6.0,4.0,3379.0,7407.0,23,6,2017,1.0,5.0,2.0,1.0
10,2021-02-10,1280985,187622.84,129311,4.0,2.0,1233.0,7102.0,23,11,2019,0.0,5.0,1.0,1.0
26,2021-02-09,1281239,824864.70,448160,4.0,4.0,5383.0,15810.0,12,11,2019,0.0,6.0,0.0,0.0
34,2021-02-08,1273996,230867.42,279954,4.0,2.0,1810.0,6312.0,15,8,2019,1.0,10.0,0.0,1.0
39,2021-02-08,1278771,178186.48,125398,3.0,2.0,1775.0,8475.0,15,13,2020,1.0,6.0,1.0,1.0
53,2021-02-03,1280978,507528.30,199766,3.0,1.0,1134.0,6045.0,19,12,2019,0.0,5.0,0.0,0.0
66,2021-02-02,1283579,342423.69,293903,4.0,2.0,2420.0,8032.0,8,6,2019,0.0,6.0,0.0,0.0
363,2021-01-04,1272648,310518.63,253162,4.0,2.0,2280.0,6900.0,72,2,2009,0.0,2.0,14.0,0.0
508,2020-12-07,1276325,232091.81,276955,3.0,2.0,1420.0,4827.0,33,31,2019,0.0,4.0,2.0,0.0
581,2020-11-23,1275642,779817.27,432555,3.0,2.0,1680.0,8125.0,21,14,2019,0.0,3.0,1.0,1.0
794,2020-10-19,1270512,165643.01,176312,0.0,0.0,1513.0,9424.0,25,21,2019,0.0,3.0,1.0,0.0
983,2020-07-13,1257274,189716.45,30983,2.0,1.0,720.0,7200.0,7,6,2019,0.0,2.0,1.0,0.0
984,2020-07-13,1257523,450274.56,151249,4.0,2.0,1680.0,6750.0,7,3,2017,1.0,2.0,1.0,0.0
1138,2020-06-08,1259042,26750.06,179408,3.0,1.0,960.0,11538.0,32,22,2019,0.0,10.0,2.0,0.0
1193,2020-05-27,1243776,381418.46,217351,2.0,2.0,1388.0,2447.0,11,7,2018,1.0,5.0,1.0,0.0
1326,2020-05-11,1257016,212011.3,168217,3.0,2.0,1242.0,9184.35,38,3,2012,0.0,2.0,8.0,0.0
1433,2020-04-27,1249812,355122.77,231666,5.0,3.0,2423.0,7980.0,39,2,2014,0.0,2.0,1.0,0.0
1521,2020-04-20,1242921,26750.06,179408,3.0,1.0,960.0,11538.0,36,24,2019,0.0,10.0,2.0,0.0
1576,2020-04-14,1257702,117967.14,190246,3.0,2.0,2241.0,5980.0,38,35,2019,0.0,3.0,1.0,0.0
1595,2020-04-13,1249445,150076.7,30215,3.0,1.0,1162.0,3910.0,63,50,2019,1.0,6.0,2.0,0.0
1722,2020-04-06,1253010,18611.75,141541,3.0,2.0,1248.0,7791.0,55,38,2018,0.0,2.0,2.0,0.0
1884,2020-03-24,1243741,264637.66,343588,5.0,4.0,3164.0,21054.0,18,12,2018,1.0,3.0,1.0,0.0
2056,2020-03-16,1242815,278606.53,299898,4.0,2.0,1938.0,7420.0,71,24,2017,0.0,6.0,1.0,0.0
2081,2020-03-10,1252265,212011.3,168217,3.0,2.0,1242.0,9184.35,55,3,2012,0.0,2.0,8.0,0.0
2495,2020-02-12,1236872,18611.75,141541,3.0,2.0,1248.0,7791.0,38,18,2018,0.0,2.0,2.0,0.0
2701,2020-01-29,1239595,985324.62,529345,5.0,5.0,3270.0,8025.0,8,3,2016,1.0,8.5,4.0,0.0
2936,2020-01-15,1247305,150076.7,30215,3.0,1.0,1162.0,3910.0,33,31,2019,1.0,6.0,2.0,0.0
3039,2020-01-13,1244729,362199.07,187261,4.0,2.0,1922.0,5915.0,72,1,2009,0.0,2.0,9.0,1.0
3160,2020-01-07,1241906,303108.22,213053,0.0,0.0,3312.0,93218.4,86,65,2018,0.0,5.0,2.0,0.0
3367,2020-01-06,1235909,883398.38,532734,6.0,5.0,5162.0,40482.0,211,79,2017,0.0,6.0,7.0,0.0
3422,2019-12-17,1233391,69959.36,152502,3.0,2.0,1736.0,3910.0,28,18,2018,1.0,4.0,1.0,0.0
3794,2019-11-27,1238504,287253.96,215000,2.0,3.0,1917.0,2124.0,51,43,2019,1.0,3.0,1.0,1.0
3926,2019-11-19,1229006,303108.22,213053,0.0,0.0,3312.0,93218.4,19,16,2018,0.0,5.0,2.0,0.0
4004,2019-11-13,1234777,314719.24,330898,4.0,3.0,2690.0,4400.0,35,4,2013,1.0,4.0,11.0,0.0
4028,2019-11-12,1222450,708798.92,283598,4.0,2.0,3004.0,6000.0,109,27,2016,1.0,3.0,2.0,1.0
4091,2019-11-12,1227334,185863.07,102831,3.0,1.0,1075.0,10275.0,109,86,2018,1.0,3.0,2.0,0.0
4135,2019-11-06,1233700,310518.63,253162,4.0,2.0,2280.0,6900.0,40,3,2009,0.0,2.0,14.0,0.0
4215,2019-11-04,1226300,985324.62,529345,5.0,5.0,3270.0,8025.0,37,15,2016,1.0,8.5,4.0,0.0
4349,2019-10-28,1224349,253361.54,254428,0.0,0.0,2264.0,15682.0,58,41,2018,1.0,7.0,1.0,0.0
4396,2019-10-23,1231269,215569.98,206152,5.0,2.0,1906.0,8840.0,44,6,2016,0.0,5.0,1.0,1.0
4412,2019-10-23,1232989,212011.3,168217,3.0,2.0,1242.0,9184.35,44,3,2012,0.0,2.0,8.0,0.0
5665,2019-08-05,1192900,985324.62,529345,5.0,5.0,3270.0,8025.0,68,13,2016,1.0,8.5,4.0,0.0
6315,2019-06-26,1215361,113451.09,93781,2.0,1.0,645.0,1250.0,25,11,2018,1.0,8.0,1.0,1.0
6863,2019-05-28,1206017,268473.91,297407,3.0,1.0,1173.0,9265.0,98,67,2018,0.0,3.0,1.0,1.0
6958,2019-05-20,1207694,219964.6,189612,3.0,2.0,1364.0,4501.0,54,17,2016,1.0,7.0,4.0,1.0
7298,2019-04-30,1205000,310518.63,253162,4.0,2.0,2280.0,6900.0,41,3,2009,0.0,2.0,14.0,0.0
7602,2019-04-10,1200205,378091.92,313202,4.0,3.0,2346.0,8107.0,33,4,2010,0.0,8.0,7.0,1.0
7688,2019-04-08,1191462,219964.6,189612,3.0,2.0,1364.0,4501.0,86,31,2016,1.0,7.0,4.0,0.0
8879,2019-01-28,1184565,465179.32,180843,3.0,2.0,1444.0,6200.0,75,13,2015,0.0,3.0,10.0,0.0
8966,2019-01-22,1190026,256527.91,148000,4.0,2.0,1227.0,4541.0,126,98,2017,1.0,6.0,1.0,1.0
9049,2019-01-22,1180523,985324.62,529345,5.0,5.0,3270.0,8025.0,126,46,2016,1.0,8.5,4.0,0.0
9126,2019-01-15,1184112,222164.03,232217,2.0,1.0,941.0,5460.0,41,1,2009,0.0,4.0,5.0,1.0
9128,2019-01-15,1182591,310518.63,253162,4.0,2.0,2280.0,6900.0,41,3,2009,0.0,2.0,14.0,0.0
9129,2019-01-15,1184366,378091.92,313202,4.0,3.0,2346.0,8107.0,41,4,2010,0.0,8.0,7.0,0.0
9247,2019-01-09,1185103,332334.99,263322,6.0,4.0,2575.0,10350.0,68,63,2018,0.0,3.0,1.0,1.0
9368,2019-01-08,1181253,219964.6,189612,3.0,2.0,1364.0,4501.0,155,66,2016,1.0,7.0,4.0,0.0
9603,2019-01-07,1175157,516302.28,317384,6.0,3.0,3483.0,9609.0,203,70,2016,1.0,3.0,3.0,0.0
9734,2018-12-10,1178032,2100897.76,789570,4.0,4.0,3750.0,21600.0,84,39,2017,0.0,5.0,4.0,1.0
9848,2018-12-03,1181794,542652.64,315401,6.0,4.0,3572.0,6000.0,138,87,2017,1.0,4.5,2.0,0.0
10588,2018-10-29,1165971,219964.6,189612,3.0,2.0,1364.0,4501.0,84,29,2016,1.0,7.0,4.0,0.0
10630,2018-10-24,1174835,2174324.54,2401213,0.0,0.0,35919.0,54886.0,31,6,2013,0.0,6.0,1.0,0.0
11078,2018-10-09,1158706,472496.6,230000,4.0,3.0,1507.0,1.0,70,52,2017,1.0,6.0,1.0,1.0
11560,2018-09-17,1152603,310518.63,253162,4.0,2.0,2280.0,6900.0,58,1,2009,0.0,2.0,14.0,0.0
11640,2018-09-12,1165063,533474.3,222620,8.0,4.0,2594.0,5000.0,70,6,2013,0.0,6.0,5.0,0.0
12071,2018-08-22,1160600,378091.92,313202,4.0,3.0,2346.0,8107.0,52,1,2010,0.0,8.0,7.0,0.0
13173,2018-07-06,1156604,635928.23,193779,3.0,2.0,1850.0,130680.0,62,41,2017,0.0,3.0,1.0,1.0
13304,2018-06-27,1151099,240453.86,115441,3.0,2.0,1934.0,4230.0,54,19,2015,1.0,6.0,5.0,0.0
13714,2018-06-05,1146533,212011.3,168217,3.0,2.0,1242.0,9184.35,30,3,2012,0.0,2.0,8.0,0.0
14016,2018-05-24,1148136,99515.62,351670,6.0,5.0,2429.0,6317.71,30,11,2014,0.0,6.0,9.0,0.0
14144,2018-05-21,1143882,402565.02,191000,3.0,2.0,1656.0,1896.0,57,10,2013,1.0,5.0,2.0,1.0
14306,2018-05-14,1142624,310518.63,253162,4.0,2.0,2280.0,6900.0,61,2,2009,0.0,2.0,14.0,0.0
14796,2018-04-18,1143276,266538.23,124060,2.0,2.0,1678.0,5250.0,25,3,2014,1.0,3.0,3.0,1.0
15158,2018-04-05,1132660,816005.11,325023,5.0,3.0,3399.0,5000.0,113,51,2017,1.0,5.0,1.0,1.0
15249,2018-04-02,1136147,533474.3,222620,8.0,4.0,2594.0,5000.0,44,6,2013,0.0,6.0,5.0,0.0
15750,2018-03-14,1123487,310518.63,253162,4.0,2.0,2280.0,6900.0,36,4,2009,0.0,2.0,14.0,0.0
15956,2018-03-05,1132120,977576.42,913214,0.0,0.0,4400.0,38768.0,72,69,2017,0.0,6.0,1.0,0.0
16298,2018-02-15,1131382,99515.62,351670,6.0,5.0,2429.0,6317.71,87,9,2014,0.0,6.0,9.0,0.0
16912,2018-01-22,1121527,594186.33,451619,5.0,4.0,2786.0,7500.0,60,13,2014,1.0,84.0,3.0,1.0
17144,2018-01-12,1118367,288648.69,68722,8.0,2.0,2474.0,5600.0,48,13,2015,1.0,3.0,6.0,1.0
17331,2018-01-08,1114141,145630.22,108847,3.0,1.0,1162.0,2210.0,97,40,2015,1.0,10.0,1.0,1.0
17722,2017-12-13,1119993,272290.75,464531,6.0,3.0,3430.0,7500.0,60,8,2012,0.0,3.0,5.0,1.0
17789,2017-12-08,1103541,310518.63,253162,4.0,2.0,2280.0,6900.0,32,1,2009,0.0,2.0,14.0,0.0
17790,2017-12-08,1121284,2721210.44,2494967,0.0,0.0,15166.0,67897.0,32,31,2017,0.0,4.0,1.0,0.0
17945,2017-12-01,1103877,156606.67,176639,2.0,2.0,1679.0,7000.0,16,5,2015,0.0,17.0,3.0,0.0
17975,2017-11-29,1114841,504593.02,312806,3.0,2.0,2299.0,10800.0,19,7,2015,0.0,3.0,3.0,0.0
18102,2017-11-21,1108126,420680.44,417560,3.0,2.0,2717.0,15000.0,35,5,2013,0.0,4.0,1.0,1.0
18492,2017-11-03,1110467,594186.33,451619,5.0,4.0,2786.0,7500.0,25,7,2014,1.0,84.0,3.0,0.0
18565,2017-10-30,1098352,345020.94,197619,4.0,2.0,1450.0,5680.0,66,12,2012,1.0,16.0,1.0,1.0
18596,2017-10-30,1103530,362199.07,187261,4.0,2.0,1922.0,5915.0,66,1,2009,0.0,2.0,9.0,0.0
18681,2017-10-23,1090687,150763.84,109098,2.0,2.0,936.0,4250.0,46,21,2016,0.0,3.0,3.0,0.0
19266,2017-10-03,1109317,187608.55,263655,3.0,2.0,1669.0,5250.0,55,11,2014,1.0,9.0,5.0,1.0
19449,2017-09-26,1108075,568922.64,321354,0.0,0.0,1836.0,9300.0,57,56,2017,0.0,3.0,1.0,1.0
19583,2017-09-22,1102521,240453.86,115441,3.0,2.0,1934.0,4230.0,73,42,2015,1.0,6.0,5.0,0.0
19633,2017-09-20,1106348,378091.92,313202,4.0,3.0,2346.0,8107.0,55,5,2010,0.0,8.0,7.0,0.0
19670,2017-09-19,1098062,245746.27,200189,3.0,2.0,1578.0,2000.0,57,54,2017,1.0,6.0,1.0,0.0
19906,2017-09-12,1103004,177761.78,107611,2.0,2.0,1149.0,2662.0,38,27,2016,1.0,3.0,3.0,0.0
20039,2017-09-08,1087478,284244.13,313629,5.0,2.0,1940.0,5600.0,63,45,2016,0.0,4.0,3.0,0.0
20046,2017-09-08,1093154,297674.55,172202,4.0,2.0,1848.0,5310.0,63,32,2015,1.0,3.0,8.0,0.0
20238,2017-08-30,1101920,187608.55,263655,3.0,2.0,1669.0,5250.0,41,14,2014,1.0,9.0,5.0,0.0
20336,2017-08-28,1085371,465179.32,180843,3.0,2.0,1444.0,6200.0,60,31,2015,0.0,3.0,10.0,0.0
20587,2017-08-21,1084311,289361.39,302280,5.0,3.0,2367.0,6400.0,42,7,2013,0.0,3.0,5.0,0.0
20611,2017-08-21,1083949,300051.83,156247,4.0,2.0,1732.0,4895.0,42,41,2016,0.0,3.0,3.0,0.0
20750,2017-08-16,1097984,272290.75,464531,6.0,3.0,3430.0,7500.0,58,11,2012,0.0,3.0,5.0,0.0
20995,2017-08-08,1092425,288648.69,68722,8.0,2.0,2474.0,5600.0,30,15,2015,1.0,3.0,6.0,0.0
21005,2017-08-07,1080617,310518.63,253162,4.0,2.0,2280.0,6900.0,61,3,2009,0.0,2.0,14.0,0.0
21057,2017-08-07,1092627,362199.07,187261,4.0,2.0,1922.0,5915.0,61,2,2009,0.0,2.0,9.0,0.0
21097,2017-08-03,1096969,402565.02,191000,3.0,2.0,1656.0,1896.0,52,14,2013,1.0,5.0,2.0,0.0
21205,2017-07-31,1091134,565804.25,185682,0.0,1.0,485.0,1.0,43,3,2010,1.0,5.0,3.0,1.0
21238,2017-07-28,1094059,240453.86,115441,3.0,2.0,1934.0,4230.0,26,14,2015,1.0,6.0,5.0,0.0
21469,2017-07-21,1078225,322923.96,229614,2.0,2.0,1634.0,10650.0,48,13,2014,1.0,9.0,1.0,1.0
21751,2017-07-13,1093147,284325.42,131288,3.0,2.0,1290.0,5500.0,16,2,2012,1.0,3.0,6.0,1.0
22081,2017-06-29,1089568,14421.33,150000,3.0,2.0,1120.0,2610.0,61,32,2015,1.0,1.0,5.0,0.0
22266,2017-06-22,1088364,129193.62,107415,3.0,1.0,1162.0,2210.0,111,50,2017,1.0,4.0,1.0,1.0
22324,2017-06-21,1086873,378091.92,313202,4.0,3.0,2346.0,8107.0,35,3,2010,0.0,8.0,7.0,0.0
22498,2017-06-15,1076174,240453.86,115441,3.0,2.0,1934.0,4230.0,49,13,2015,1.0,6.0,5.0,0.0
22702,2017-06-09,1083874,284325.42,131288,3.0,2.0,1290.0,5500.0,53,11,2012,1.0,3.0,6.0,0.0
22826,2017-06-06,1068948,288648.69,68722,8.0,2.0,2474.0,5600.0,38,25,2015,1.0,3.0,6.0,0.0
23002,2017-05-30,1084652,565804.25,185682,0.0,1.0,485.0,1.0,91,8,2010,1.0,5.0,3.0,0.0
23512,2017-05-12,1080852,187608.55,263655,3.0,2.0,1669.0,5250.0,47,27,2014,1.0,9.0,5.0,0.0
23953,2017-04-27,1076753,565804.25,185682,0.0,1.0,485.0,1.0,26,2,2010,1.0,5.0,3.0,0.0
24201,2017-04-19,1076180,177761.78,107611,2.0,2.0,1149.0,2662.0,43,38,2016,1.0,3.0,3.0,0.0
24279,2017-04-17,1075742,187608.55,263655,3.0,2.0,1669.0,5250.0,60,29,2014,1.0,9.0,5.0,0.0
24397,2017-04-12,1068745,841099.03,1125946,0.0,2.0,2868.0,3330.0,33,2,2010,0.0,3.0,5.0,0.0
24454,2017-04-11,1063117,310518.63,253162,4.0,2.0,2280.0,6900.0,53,6,2009,0.0,2.0,14.0,0.0
24460,2017-04-10,1057752,287686.99,229231,4.0,2.0,2466.0,10934.0,83,41,2014,0.0,4.0,1.0,1.0
24790,2017-03-29,1071810,272290.75,464531,6.0,3.0,3430.0,7500.0,49,6,2012,0.0,3.0,5.0,0.0
24831,2017-03-28,1065496,132470.21,50552,3.0,2.0,1690.0,5400.0,43,16,2015,1.0,8.0,1.0,1.0
24976,2017-03-22,1068674,272290.75,464531,6.0,3.0,3430.0,7500.0,85,9,2012,0.0,3.0,5.0,0.0
25050,2017-03-21,1054438,177761.78,107611,2.0,2.0,1149.0,2662.0,39,36,2016,1.0,3.0,3.0,0.0
25143,2017-03-17,1053379,240453.86,115441,3.0,2.0,1934.0,4230.0,28,20,2015,1.0,6.0,5.0,0.0
25151,2017-03-17,1064521,330302.79,239250,0.0,0.0,1796.0,4140.0,28,4,2011,0.0,8.0,4.0,1.0
25153,2017-03-16,1067737,0,1125946,0.0,2.0,2868.0,3330.0,86,7,2010,0.0,3.0,5.0,0.0
25262,2017-03-14,1064658,187608.55,263655,3.0,2.0,1669.0,5250.0,23,10,2014,1.0,9.0,5.0,0.0
